"RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","DelIn2Yr"
0.093962275,55,0,0.112051635,6,0,2,0,"0"
0.21955042,54,0,0.315983758,20,0,2,0,"0"
0.147996253,55,0,0.323088235,5,0,1,0,"0"
0.576518559,72,0,3031,11,0,1,0,"0"
0.243872021,53,0,0.534027778,22,0,2,0,"0"
0.362483818,27,0,567,4,0,0,0,"0"
0.116676791,31,0,0.343593791,7,0,1,0,"0"
0.9999999,38,0,0.43369976,7,0,1,0,"0"
0.496911825,40,0,0.452363811,11,0,2,0,"0"
0.130902106,48,1,0.427882174,17,0,1,0,"0"
0.54699881,50,0,0.748071979,9,0,2,0,"0"
0.072277109,34,0,0.025911708,2,0,0,0,"0"
0,48,2,0.370876375,14,0,1,0,"0"
0.175932019,57,1,0.655812625,9,0,1,0,"0"
0.050789842,30,0,0.315171207,4,0,1,0,"0"
0,28,0,0.144616356,7,0,0,0,"0"
0.21286031,36,0,0.563752087,10,0,2,0,"0"
0.012682366,60,0,0.412979783,20,0,2,0,"0"
0.121557062,58,0,0.342971419,23,0,2,0,"0"
0.040795358,49,0,0.801999355,11,0,1,0,"0"
0.147712223,40,0,0.034847816,6,0,0,0,"0"
0,63,0,2,4,0,0,0,"0"
0,50,1,0.726566993,5,0,1,0,"0"
0.070771911,38,0,2088,6,0,1,0,"0"
1.046279103,47,1,1.104301274,6,0,2,0,"1"
0.323719804,63,0,0.610841267,9,0,2,0,"0"
0.36459777,42,0,0.593899089,7,0,3,0,"0"
0.637736406,54,2,3.382196162,9,0,2,0,"0"
0.081379827,63,0,1268,8,0,1,0,"0"
0.020966389,29,0,639.5,3,0,1,0,"0"
0.170103002,36,0,0.138461538,8,0,0,0,"0"
0.771845631,33,0,0.852429514,7,0,3,0,"0"
0.05538241,72,0,0.089091313,4,0,0,0,"0"
0.9999999,29,0,974,2,0,0,0,"0"
0.16653274,53,0,0.543625949,11,0,3,0,"0"
0.008632035,79,0,0.365151154,9,0,1,0,"0"
0.13527952,58,0,0.342005076,11,0,2,0,"0"
0.167571389,69,0,0.330733853,10,0,1,0,"0"
0.9999999,69,0,0.005319149,0,1,0,0,"0"
0.068335151,75,0,0.010927876,9,0,0,0,"0"
0,41,0,0.907538526,6,0,1,0,"0"
0.946963874,35,0,1593,6,0,1,0,"1"
0.405183973,46,0,0.667835346,22,0,2,0,"0"
0.055549313,65,0,2177,6,0,1,0,"0"
0.676195456,55,0,0.436665827,10,1,1,0,"0"
0.184986787,55,4,3144,11,0,1,0,"0"
0.085338293,51,0,0.477503628,11,0,1,0,"1"
0,25,0,0.152896812,3,0,0,1,"1"
0.786485406,44,0,0.291709578,7,2,0,2,"1"
0.0112096,86,0,13,3,0,0,0,"0"
0.03833451,56,0,0.438912218,7,0,2,0,"0"
0.714980139,55,0,0.47090194,12,0,2,0,"0"
0.043032042,64,0,0.332016389,14,0,2,0,"0"
1.095083357,53,5,0.536703799,7,1,1,2,"0"
0,49,0,2932,11,0,1,0,"0"
0.9999999,55,0,0.156259612,5,0,0,0,"0"
0.101430135,80,1,0.016196761,9,0,0,0,"0"
0.025892469,38,0,74.5,13,0,0,0,"1"
0.762158561,44,4,0.224465502,5,0,1,0,"0"
0.231692268,40,0,0.119660709,7,0,0,0,"0"
0.114869499,35,0,103,6,0,0,0,"0"
0.035489848,69,0,0.308438695,9,0,1,0,"0"
0.045423864,64,0,0.181311286,4,0,1,0,"0"
0.311954668,61,0,0.269281443,12,0,2,0,"0"
0.078738916,46,0,0.166215372,6,0,1,0,"0"
0.137609462,49,0,0.429533892,11,0,2,0,"0"
0.030173038,64,0,0.17386957,8,0,1,0,"0"
0.021978375,40,0,0.443755624,12,0,5,0,"0"
0.443696851,27,0,0.024340075,4,0,0,0,"0"
0.007506793,60,0,1253,8,0,1,0,"0"
0.046640328,92,1,0.034326669,13,0,0,0,"0"
0.292365949,50,0,0.420180551,8,0,2,0,"0"
0.20808276,64,0,2826,14,0,2,0,"0"
0.9999999,66,1,0.358101135,4,1,0,0,"0"
0.013500824,53,0,0.183464028,8,0,1,0,"0"
0.9999999,62,0,0.04965839,1,0,0,0,"0"
0.655316473,63,0,5223,19,0,2,0,"1"
0.9999999,50,2,1208,4,0,1,0,"0"
0.028113957,61,0,0.031349387,12,0,0,0,"0"
0.222696207,42,0,800,3,0,1,0,"0"
0.593985244,63,0,0.332698534,4,0,2,0,"0"
0.017508178,73,1,0.135589153,12,0,1,0,"0"
0.611865678,72,0,0.04578345,3,0,1,0,"0"
0.333060631,52,3,0.700153374,15,0,2,1,"0"
0.009025178,45,0,0.376836435,4,0,1,0,"0"
0.260271523,44,0,0.296854804,11,0,1,0,"0"
0.455950788,63,1,0.701766078,19,0,2,0,"0"
0.080288098,37,0,0.322446259,7,0,1,0,"0"
1.953488372,38,0,0.153500141,5,0,0,0,"1"
0.181557324,36,0,0.56071964,7,0,1,0,"0"
0.147123525,41,0,0.436025621,5,0,1,0,"0"
0.025601772,63,1,0.262773723,8,0,1,0,"0"
0,76,0,0.002465931,3,0,0,0,"0"
0.196372799,43,0,0.537485582,10,0,1,0,"0"
0.083945242,64,0,0.588073078,6,0,1,0,"0"
0.034833091,67,0,0.460246187,9,0,2,0,"0"
0.787522133,52,0,0.353860086,12,0,0,0,"0"
0,66,0,3730,8,0,1,0,"0"
0.125429152,55,0,0.476704659,3,0,2,0,"0"
0.06037487,42,0,0.578676723,17,0,2,0,"0"
0.9999999,28,0,0,0,0,0,0,"0"
0.295928252,47,0,0.283765445,6,0,2,0,"0"
0.973339258,61,1,0.209961825,11,0,0,1,"1"
0.002856735,73,0,0.000285687,10,0,0,0,"0"
0.877564897,58,0,2825,10,0,2,0,"0"
0.9999999,68,0,0.040493251,0,0,0,0,"0"
0.053431552,41,0,0.20364404,3,0,1,0,"0"
0.732660667,44,2,0.14041952,15,0,1,0,"0"
0.084220458,42,0,0.458551158,26,0,2,0,"0"
0.114561798,40,0,0.359964004,20,0,2,0,"0"
0.012151003,78,0,0.008886914,12,0,0,0,"0"
0.081310737,81,0,0.165566887,4,0,0,0,"0"
0.09811305,49,0,0.257017809,9,0,2,0,"0"
1.048210842,58,7,0.151956584,12,0,0,0,"1"
0.011883886,54,0,0.092913547,8,0,1,0,"0"
0.75264947,33,1,0.058322869,6,0,0,0,"0"
0.112321289,53,0,0.266909775,9,0,1,0,"0"
0,23,0,0,1,0,0,0,"0"
0.634327056,49,1,0.123125125,7,0,0,0,"0"
0.15576324,44,0,0.278077082,4,0,1,0,"0"
0,63,0,0.007988922,9,0,0,0,"0"
0.090614887,42,0,86,5,0,0,0,"0"
0.034645112,65,0,0.125189985,4,0,1,0,"0"
0.027446383,54,0,1612,6,0,1,0,"0"
0.412398622,28,0,0.037259615,5,0,0,0,"0"
0.024670782,78,0,392,6,0,1,0,"0"
0.046710961,66,0,1.117952819,12,0,1,0,"0"
0.976531824,32,0,0.264078812,6,0,0,0,"0"
0.007982621,43,1,0.009691169,11,0,1,0,"0"
0.267541336,59,0,0.637607437,13,0,2,0,"0"
0.019779326,76,0,0.267149259,9,0,0,0,"0"
0.010402205,68,0,0.094140517,6,0,1,0,"0"
0.9999999,61,0,0.529548989,3,0,1,0,"0"
0.029816467,68,0,0.175139978,12,0,1,0,"0"
0.181713732,57,0,0.130453416,17,0,1,0,"0"
0.051368557,68,0,0.445277361,10,0,1,0,"0"
0.29264536,57,0,0.205927884,11,0,2,0,"0"
0.220823719,46,1,0.637749121,5,0,0,0,"1"
0.008099838,69,0,0.389895596,3,0,1,0,"0"
0,44,0,0.326383681,4,0,2,0,"0"
0.006099797,28,0,0.139429485,8,0,0,0,"0"
0.909538698,53,1,0.595653913,16,0,1,0,"0"
0.941072508,40,0,0.178184282,9,0,1,0,"0"
0.991667222,36,1,0.554878049,10,0,2,0,"0"
0.691488418,42,0,0.272721679,11,0,1,0,"0"
0.112855258,64,0,0.307576329,6,0,1,0,"0"
0.260971034,57,0,5439,16,0,3,0,"0"
0.048244493,62,0,0.262879153,11,0,1,0,"0"
0.9999999,47,0,0.092163472,2,2,0,1,"0"
0.9999999,62,0,0,3,0,0,0,"0"
0.074256375,49,0,0.347930414,11,0,2,0,"0"
0.144878408,66,0,0.28446242,9,0,1,0,"0"
0.191001932,54,0,0.705627706,10,0,2,0,"0"
0.219382879,56,1,942,9,0,1,0,"0"
0.679813777,83,0,0.689589756,6,0,2,0,"0"
2340,45,0,0.339332853,7,0,2,0,"0"
0.371875401,29,0,0.53628857,9,0,1,0,"0"
0.025856408,67,0,0.083799311,13,0,1,0,"0"
0.547887778,29,1,0.24651504,5,0,0,1,"0"
0.271668778,46,1,0.282830201,14,0,2,0,"0"
0.085152475,25,0,1005,5,0,0,0,"0"
0.897203427,68,0,0.787803049,8,0,2,0,"0"
0.25889775,33,0,0.537441339,3,0,1,0,"0"
0,55,1,0.03988553,8,0,0,0,"0"
0.035940506,46,0,0.271186441,10,0,1,0,"0"
0.9999999,66,0,0.046633911,2,0,0,0,"0"
0.465238835,66,0,0.391427671,8,1,1,0,"0"
0.865423051,48,0,0.075848303,1,0,0,0,"0"
0.696411671,52,0,0.408871921,11,0,1,0,"0"
0.544497658,32,1,0.166766647,5,1,0,0,"0"
0.081238383,51,0,0.066830086,14,0,0,0,"0"
0.948762809,27,0,0.144948404,5,0,0,0,"0"
0,32,2,0.463610776,10,0,1,1,"0"
0.016598893,30,0,0.136575616,5,0,0,0,"0"
0.063329564,37,0,0.329935275,6,0,1,0,"0"
0.093638481,49,0,0.042836573,10,0,0,0,"0"
0,37,0,0.184027338,5,0,1,0,"0"
0.730271957,36,1,0.632794037,10,0,2,0,"0"
0.426371142,62,1,0.406053995,15,0,1,0,"0"
0.948978489,57,0,0.043744532,3,0,0,0,"0"
0,59,0,0,7,0,0,0,"0"
1.00264667,38,2,0.472542946,8,1,0,1,"0"
0.0164781,92,0,10,3,0,0,0,"0"
0.042606843,58,0,3976,13,0,3,0,"0"
0.022890604,37,0,0.288477299,16,0,1,0,"0"
0.283821988,63,0,0.750200803,9,0,0,0,"0"
0.319779462,32,0,1.247340213,12,0,8,0,"0"
0.155240525,52,0,0.483518065,15,0,2,0,"0"
0.013115183,43,0,4211,21,0,2,0,"0"
0.067259209,29,1,0.168340507,3,0,0,0,"0"
0.284236153,45,1,0.318890815,9,0,1,0,"0"
0.727560021,38,0,0.712458746,6,0,1,0,"0"
0.687779097,62,0,0.249471161,15,0,0,0,"0"
0.9999999,29,0,0,0,0,0,0,"0"
0.033708851,41,0,0.408706353,9,0,1,0,"0"
0,29,0,0.193935355,7,0,0,0,"0"
0.03719769,47,0,0.03975841,11,0,1,0,"1"
0,55,1,0.388320836,4,0,2,0,"0"
0.053589282,87,0,0.001534331,4,0,0,0,"0"
0.100773109,41,0,0.199761673,7,0,1,0,"0"
0,61,0,1.394967177,11,0,2,0,"0"
0.399946674,28,0,0.189702574,6,0,0,0,"0"
0.052653171,43,0,0.572292191,9,0,0,0,"0"
0.072318616,71,0,0.426412462,8,0,2,0,"0"
0.203959597,46,0,0.072914726,6,0,1,0,"0"
0.9999999,30,0,0.090341011,1,0,0,0,"0"
0.880370887,43,0,0.461323764,6,0,1,0,"1"
0.429246267,59,0,0.381254316,17,0,1,0,"0"
0,47,0,773,2,0,1,0,"0"
0.049529205,61,0,542,15,0,0,0,"0"
0.360907571,72,0,0.356679286,6,0,1,0,"0"
0.335737457,50,0,0.45722203,9,0,1,0,"0"
0.635720859,68,1,0.218071277,27,0,3,0,"1"
0,58,0,8380,20,0,5,0,"0"
0.507972665,69,2,0.193935355,10,2,0,2,"0"
0.245841666,71,0,151,5,0,0,0,"0"
0.953343701,48,2,2073,5,1,2,2,"1"
0.9999999,37,0,0.184625639,2,0,0,0,"0"
0.118853837,50,0,2720,7,0,1,0,"0"
0.630073985,38,0,0.563328034,3,0,1,0,"0"
0.9999999,35,0,3388,1,0,1,0,"0"
0.028423247,59,0,0.033982276,12,0,1,0,"0"
0.143427862,67,0,0.119463561,9,0,0,0,"0"
0.186682782,30,0,0.698120752,7,0,2,0,"0"
0.496388581,56,0,0.170164956,12,0,1,0,"0"
0.457526639,51,0,0.333583302,16,0,2,0,"0"
0.728218119,40,1,3878,10,0,2,0,"0"
0.947264856,28,0,0.467171717,4,0,0,0,"0"
0.013916922,54,0,0.017655818,7,0,0,0,"0"
0.066347297,46,1,4480,6,0,2,0,"0"
0.502958087,57,0,6381,5,0,2,0,"0"
1.047495906,35,2,0.314566116,8,0,2,1,"0"
0.012586354,79,0,0.009596162,11,0,0,0,"0"
0.543445655,46,0,0.267146571,6,0,2,0,"0"
0.026580302,79,0,1063,7,0,1,0,"0"
0.082317351,64,0,0.214426305,29,0,1,0,"0"
0.292541492,74,0,0.164917541,3,0,0,0,"0"
0.024240472,64,0,0.101514142,20,0,1,0,"0"
0.047650102,63,0,0.387956894,6,0,2,0,"0"
0.739146488,63,1,0.285156885,12,0,0,0,"1"
0.186890655,54,0,0.655589124,7,0,1,0,"0"
0.007501937,63,0,0.278226307,13,0,2,0,"0"
0.522314625,45,0,0.290229092,13,0,1,0,"0"
0.9999999,22,0,130,0,0,0,0,"0"
0.571604587,66,0,870,12,0,0,0,"0"
0.903231566,57,0,0.13080895,10,0,0,0,"0"
0.017043518,43,0,0.10821382,6,0,0,0,"0"
0.060733396,61,0,0.008549573,8,0,0,0,"0"
0.000582648,54,0,2028,13,0,1,0,"0"
0.003894686,90,0,876,11,0,1,0,"0"
0.250008365,60,0,2.086478612,26,0,0,0,"0"
0.466334165,34,2,0.007495315,3,0,0,0,"0"
0.114588541,38,0,34,2,0,0,0,"0"
0.9999999,60,0,0,0,0,0,0,"0"
0.267905614,76,0,0.285452994,12,0,0,0,"0"
0.029694361,76,0,0.070513488,7,0,0,0,"0"
0.305246317,39,0,0.188281635,6,0,1,0,"0"
0.000685675,83,0,0,4,0,0,0,"0"
0.702493864,63,0,0.582162622,8,0,2,0,"0"
0.742436041,52,0,0.414081023,10,0,2,0,"0"
0.802417179,58,1,668,5,1,0,0,"1"
0.9999999,42,1,0.113421853,3,3,0,1,"0"
0.134191514,63,0,926.5,9,0,1,0,"0"
0.002556199,58,0,0.115826132,17,0,0,0,"0"
0.088845558,62,0,0.073772011,5,0,0,0,"0"
0.203947961,46,1,1.206516118,12,1,4,0,"0"
0.006666097,27,0,0.000268637,5,0,0,0,"0"
0.014049649,27,0,0.352214765,4,0,1,0,"0"
0.9999999,35,1,0.092985318,1,0,0,0,"0"
0.368866624,55,0,0.437996083,18,0,2,0,"0"
0.054553316,73,0,0.043259135,13,0,0,0,"0"
0.179487766,51,0,0.492529978,19,0,4,0,"0"
0.026885902,36,0,0.344879921,6,0,2,0,"0"
0.265705207,56,0,0.259102536,8,0,3,0,"0"
0,59,0,2113,13,0,2,0,"0"
0.011847989,49,0,1599,12,0,1,0,"0"
0.07083751,64,0,0.255290785,6,0,0,0,"0"
0.030996074,56,0,0.131430952,11,0,1,0,"0"
0.144914011,37,0,0.045366363,5,0,0,0,"0"
0.353017659,48,0,1.299736021,17,0,1,0,"0"
0.020074662,36,0,0.334245422,5,0,1,0,"0"
0.032769199,70,0,724,11,0,1,0,"0"
0.733885463,49,2,0.369223765,20,0,2,0,"1"
0.063514422,57,0,2221.5,12,0,2,0,"0"
0.03157211,39,0,0.644706486,14,0,1,0,"0"
0.991502124,61,10,1.2979007,11,2,3,5,"1"
0.397702982,38,0,0.41627543,6,0,1,0,"0"
0.971352432,24,0,0.035803497,3,0,0,0,"0"
0.9999999,33,0,1786,3,0,1,0,"0"
0,73,0,0.386728192,18,0,0,0,"0"
0.9999999,79,0,0.130140954,6,0,1,0,"0"
0.003851709,81,0,0.000822143,1,0,0,0,"0"
0.010887967,55,0,0.725137431,7,0,2,0,"0"
0.686083014,57,0,0.16069592,6,1,1,0,"0"
0.212464485,58,0,0.518991188,10,0,1,0,"0"
0.006956358,52,0,0.003278689,4,0,0,0,"0"
0.073251754,51,0,0.446688128,9,0,1,0,"0"
0.431904058,63,0,0.41905226,22,1,2,0,"0"
0.006999563,97,0,3,2,0,0,0,"0"
0.014310431,56,0,13,2,0,0,0,"0"
0.026944485,41,0,0.686736475,8,0,3,0,"0"
0.297094601,43,1,0.603763294,9,0,1,0,"0"
0.316064767,56,0,1348,3,0,1,0,"0"
0,59,0,862,2,0,1,0,"0"
0.922670104,40,0,0.207789429,7,0,0,0,"0"
0.051077957,74,0,0.306409131,9,0,1,0,"0"
0.319190816,49,0,0.358153388,18,0,2,0,"0"
0.008737352,68,0,0.209965006,28,0,1,0,"0"
0,57,0,0.785229953,8,0,3,0,"0"
0.243674266,48,0,0.179979778,10,0,1,0,"0"
0.9999999,40,1,0.19170579,3,2,0,0,"0"
0,23,0,0,1,0,0,0,"0"
0.028910707,52,0,0.013543599,7,0,0,0,"0"
0.03423863,48,0,2045,3,0,1,0,"0"
0.50329934,55,0,0.454057468,5,0,2,0,"0"
0.799981673,61,3,0.671076012,19,0,3,1,"0"
0.069987933,33,0,0.114004783,7,0,0,0,"0"
0.067901335,69,0,0.065493451,5,0,1,0,"0"
0.740635161,39,0,0.432010059,7,0,1,0,"0"
0.023382944,84,0,0.00912845,6,0,0,0,"0"
0.9999999,32,2,0.095584668,1,0,0,0,"0"
0.003625197,78,0,726,8,0,1,0,"0"
0.092287617,61,0,0.229436075,23,0,2,0,"0"
0,37,0,0.177007047,5,0,1,0,"0"
0.9999999,33,1,0.257707218,2,2,1,0,"0"
0.057867667,81,0,0.145685279,13,0,0,0,"0"
0.07807727,60,0,0.566105156,14,0,1,0,"0"
0.201943642,46,0,0.394460554,15,0,2,0,"0"
0.077958915,57,0,0.053530226,19,0,0,0,"0"
0.205676486,57,0,0.130309575,8,0,1,0,"0"
0.9999999,32,0,0.006731051,1,0,0,0,"1"
0.57985084,42,0,0.594224361,8,0,0,0,"1"
0.073393457,38,1,0.384761524,9,0,2,0,"0"
0.079178219,82,0,0.176964607,3,0,1,0,"0"
0.073123172,33,0,0.216405216,9,0,0,0,"0"
0.745173448,68,0,0.168767792,4,0,1,0,"0"
0.10088331,52,1,0.280494456,6,1,1,0,"0"
0.347665233,46,0,0.041583367,1,0,0,0,"0"
0.102031508,66,0,90,4,0,0,0,"0"
0.354125994,57,0,0.558762411,4,0,1,0,"0"
0.029643294,50,0,0.399106478,15,3,4,0,"0"
0.540204354,34,0,0.034395414,3,1,0,0,"0"
0.640927271,53,4,0.52409692,17,0,2,0,"0"
0.058271403,76,0,0.374304267,7,0,1,0,"0"
0.719305764,64,0,0.186225718,5,0,1,0,"0"
0.045017363,72,0,0.020763907,8,0,0,0,"0"
0.35592819,48,0,0.478090767,17,0,2,0,"0"
0.57762185,71,1,0.4925,14,0,2,0,"0"
0.015054291,59,0,929,11,0,1,0,"0"
0.320593837,53,0,1.114622389,14,0,1,0,"0"
0.047587303,34,0,997,4,0,0,0,"0"
0.173428408,51,1,0.086269282,11,0,0,0,"0"
0.401789055,55,0,0.412779302,11,0,0,0,"0"
0.301152442,46,0,0.254661625,10,0,1,0,"0"
0,27,2,0.229139073,5,2,0,1,"0"
0.067512585,43,0,0.44723563,4,0,2,0,"0"
0,75,0,0.205971968,4,0,0,0,"0"
0.993335555,31,0,0.068227425,6,0,0,0,"0"
0.138793584,43,0,0.384074741,9,0,5,0,"0"
0.193584801,51,0,0.532754538,13,0,2,0,"0"
0.001124859,28,1,0.057990335,8,1,0,0,"0"
0.485558448,51,0,0.09963548,5,0,0,0,"0"
0.979521555,55,1,0.467850417,11,0,2,2,"0"
0.090641506,69,0,0.016683267,2,0,0,0,"0"
0.38480769,42,0,0.533099636,5,0,1,0,"0"
0.183676155,33,0,0.660528423,9,0,1,0,"0"
0.018124667,60,0,0.023181455,4,0,0,0,"0"
0.9999999,54,0,0.228402866,2,0,0,1,"1"
